proto,saddr,sport,daddr,dport,spkts,dpkts,sbytes,dbytes,state,stime,ltime,dur,attack,category
tcp,192.168.100.147,9376.0,192.168.100.3,80.0,4,0,616,0,REQ,1528096350.808908,1528096366.18384,15.374932,1,DDoS
udp,192.168.100.150,47230,192.168.100.3,80,8,0,480,0,INT,1528099352.756665,1528099367.023206,14.266541,1,DDoS
udp,192.168.100.147,55518,192.168.100.7,80,10,0,600,0,INT,1528101693.822638,1528101726.847692,33.025055,1,DDoS
udp,192.168.100.148,58386,192.168.100.7,80,6,0,360,0,INT,1528101340.564718,1528101352.799175,12.234457,1,DDoS
udp,192.168.100.149,32686,192.168.100.3,80,8,0,480,0,INT,1528099495.345607,1528099515.02126,19.675653,1,DDoS
tcp,192.168.100.149,41705.0,192.168.100.3,80.0,6,1,830,60,RST,1528096348.660848,1528096364.822948,16.1621,1,DDoS
tcp,192.168.100.149,29859.0,192.168.100.7,80.0,2,0,308,0,REQ,1528097956.30245,1528097959.547303,3.244853,1,DDoS
udp,192.168.100.150,64526.0,192.168.100.3,80.0,6,0,360,0,INT,1528099327.072479,1528099337.31835,10.245871,1,DDoS
udp,192.168.100.150,60675.0,192.168.100.3,80.0,5,0,300,0,INT,1528099437.574787,1528099446.678236,9.103449,1,DDoS
udp,192.168.100.150,60571.0,192.168.100.7,80.0,3,0,180,0,INT,1528101646.957352,1528101656.847147,9.889795,1,DDoS
tcp,192.168.100.148,10310.0,192.168.100.3,80.0,3,0,462,0,REQ,1528096369.144536,1528096380.943221,11.798685,1,DDoS
tcp,192.168.100.150,19262.0,192.168.100.3,80.0,5,0,770,0,REQ,1528096265.377929,1528096287.089556,21.711626,1,DDoS
tcp,192.168.100.150,15343.0,192.168.100.3,80.0,3,0,462,0,REQ,1528096317.09698,1528096344.371702,27.274721,1,DDoS
udp,192.168.100.147,37890.0,192.168.100.3,80.0,12,0,720,0,INT,1528099551.037126,1528099573.298222,22.261095,1,DDoS
udp,192.168.100.147,34552.0,192.168.100.5,80.0,2,0,120,0,INT,1528100233.104573,1528100239.706863,6.60229,1,DDoS
tcp,192.168.100.149,34226.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096641.806932,1528096653.8939,12.086968,1,DDoS
tcp,192.168.100.150,47880.0,192.168.100.5,80.0,3,0,462,0,REQ,1528096548.850278,1528096562.086221,13.235943,1,DDoS
tcp,192.168.100.150,32795.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096947.4487,1528096971.287208,23.838509,1,DDoS
udp,192.168.100.149,17836,192.168.100.6,80,8,0,480,0,INT,1528100743.960997,1528100772.64661,28.685614,1,DDoS
udp,192.168.100.149,20535.0,192.168.100.3,80.0,3,0,180,0,INT,1528099438.728495,1528099442.067392,3.338897,1,DDoS
udp,192.168.100.149,27572,192.168.100.6,80,3,0,180,0,INT,1528101269.176161,1528101301.325866,32.149704,1,DDoS
udp,192.168.100.148,46537,192.168.100.5,80,13,0,780,0,INT,1528100065.487023,1528100098.776812,33.289787,1,DDoS
tcp,192.168.100.150,12388.0,192.168.100.3,80.0,2,0,308,0,REQ,1528095749.314018,1528095759.605215,10.291197,1,DDoS
tcp,192.168.100.149,6088.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096668.26133,1528096687.580055,19.318726,1,DDoS
tcp,192.168.100.148,27137.0,192.168.100.7,80.0,4,0,616,0,REQ,1528097706.94155,1528097726.86937,19.92782,1,DDoS
udp,192.168.100.150,27933.0,192.168.100.3,80.0,8,0,480,0,INT,1528099422.936066,1528099436.417462,13.481396,1,DDoS
tcp,192.168.100.147,20397.0,192.168.100.5,80.0,7,0,1078,0,REQ,1528096741.447174,1528096760.81106,19.363886,1,DDoS
tcp,192.168.100.149,38286.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095765.055094,1528095775.684817,10.629723,1,DDoS
udp,192.168.100.150,30681,192.168.100.3,80,7,0,420,0,INT,1528099767.066304,1528099782.547117,15.480813,1,DDoS
tcp,192.168.100.147,76.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096951.908815,1528096972.799642,20.890827,1,DDoS
tcp,192.168.100.149,15008.0,192.168.100.3,80.0,6,1,830,60,REQ,1528095924.429265,1528095945.281498,20.852234,1,DDoS
udp,192.168.100.148,43594,192.168.100.7,80,2,0,120,0,INT,1528101600.752141,1528101603.3284,2.576259,1,DDoS
tcp,192.168.100.148,29537.0,192.168.100.5,80.0,3,0,462,0,REQ,1528097019.685322,1528097039.782723,20.097401,1,DDoS
tcp,192.168.100.149,35389.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096431.120207,1528096450.905889,19.785683,1,DDoS
udp,192.168.100.147,4313.0,192.168.100.5,80.0,10,0,600,0,INT,1528100413.075683,1528100456.276084,43.200401,1,DDoS
tcp,192.168.100.147,50645.0,192.168.100.3,80.0,5,0,770,0,REQ,1528096174.011063,1528096201.459604,27.448542,1,DDoS
udp,192.168.100.150,30131,192.168.100.7,80,7,0,420,0,INT,1528101686.80358,1528101725.142978,38.339397,1,DDoS
udp,192.168.100.150,31536,192.168.100.3,80,3,0,180,0,INT,1528099438.402341,1528099442.386273,3.983932,1,DDoS
udp,192.168.100.150,1698,192.168.100.3,80,8,0,480,0,INT,1528099495.491031,1528099514.836645,19.345613,1,DDoS
udp,192.168.100.149,2071,192.168.100.7,80,8,0,480,0,INT,1528101733.825992,1528101773.045977,39.219986,1,DDoS
tcp,192.168.100.148,60077.0,192.168.100.5,80.0,7,0,1078,0,REQ,1528096507.662504,1528096545.911316,38.248814,1,DDoS
udp,192.168.100.147,56039,192.168.100.5,80,10,0,600,0,INT,1528100020.876228,1528100060.307103,39.430874,1,DDoS
udp,192.168.100.150,51820,192.168.100.7,80,2,0,120,0,INT,1528101603.185407,1528101608.077202,4.891795,1,DDoS
udp,192.168.100.148,38918,192.168.100.7,80,2,0,120,0,INT,1528101600.415953,1528101602.976765,2.560812,1,DDoS
udp,192.168.100.148,17070,192.168.100.3,80,4,0,240,0,INT,1528099517.427789,1528099521.499114,4.071325,1,DDoS
udp,192.168.100.149,2801,192.168.100.3,80,4,0,240,0,INT,1528099976.131087,1528099980.779609,4.648522,1,DDoS
tcp,192.168.100.147,31815.0,192.168.100.7,80.0,2,0,308,0,REQ,1528097955.621734,1528097961.433414,5.81168,1,DDoS
udp,192.168.100.150,12548,192.168.100.3,80,8,0,480,0,INT,1528099551.365508,1528099571.093643,19.728134,1,DDoS
udp,192.168.100.148,40203.0,192.168.100.7,80.0,6,0,360,0,INT,1528101824.505038,1528101839.045075,14.540037,1,DDoS
udp,192.168.100.149,35959,192.168.100.6,80,2,0,120,0,INT,1528101271.268875,1528101287.147314,15.878439,1,DDoS
udp,192.168.100.148,49577,192.168.100.3,80,8,0,480,0,INT,1528099323.500801,1528099336.282494,12.781693,1,DDoS
udp,192.168.100.150,31155,192.168.100.3,80,8,0,480,0,INT,1528099626.604468,1528099647.348936,20.744469,1,DDoS
tcp,192.168.100.147,30492.0,192.168.100.5,80.0,3,1,462,60,RST,1528096565.503592,1528096585.234436,19.730844,1,DDoS
tcp,192.168.100.149,6810.0,192.168.100.6,80.0,1,0,154,0,REQ,1528097042.843365,1528097042.843365,0.0,1,DDoS
udp,192.168.100.150,59136.0,192.168.100.5,80.0,2,0,120,0,INT,1528100231.665089,1528100235.815959,4.15087,1,DDoS
tcp,192.168.100.148,33454.0,192.168.100.7,80.0,7,0,1078,0,REQ,1528097799.470662,1528097814.174767,14.704105,1,DDoS
udp,192.168.100.149,4171,192.168.100.3,80,5,0,300,0,INT,1528099605.744784,1528099614.556626,8.811842,1,DDoS
tcp,192.168.100.149,56666.0,192.168.100.3,80.0,6,1,830,60,RST,1528096175.171773,1528096200.641963,25.47019,1,DDoS
tcp,192.168.100.150,15216.0,192.168.100.7,80.0,6,0,924,0,REQ,1528097884.028126,1528097906.602052,22.573927,1,DDoS
tcp,192.168.100.148,1911.0,192.168.100.5,80.0,4,1,616,60,RST,1528096722.377105,1528096739.201519,16.824413,1,DDoS
tcp,192.168.100.147,17909.0,192.168.100.7,80.0,2,0,308,0,REQ,1528097705.911969,1528097718.227508,12.315539,1,DDoS
tcp,192.168.100.148,14425.0,192.168.100.3,80.0,2,0,308,0,REQ,1528096234.373261,1528096239.642705,5.269444,1,DDoS
udp,192.168.100.148,10351,192.168.100.3,80,4,0,240,0,INT,1528099940.804405,1528099945.382437,4.578032,1,DDoS
udp,192.168.100.147,48222,192.168.100.3,80,11,0,660,0,INT,1528099551.291785,1528099573.641975,22.350189,1,DDoS
udp,192.168.100.148,59602,192.168.100.5,80,1,0,60,0,INT,1528100555.292853,1528100555.292853,0.0,1,DDoS
tcp,192.168.100.150,42604.0,192.168.100.3,80.0,5,0,770,0,REQ,1528096010.570755,1528096033.166142,22.595387,1,DDoS
udp,192.168.100.149,43636,192.168.100.7,80,2,0,120,0,INT,1528101776.263313,1528101781.459163,5.19585,1,DDoS
udp,192.168.100.149,56815,192.168.100.7,80,3,0,180,0,INT,1528101828.592327,1528101841.171385,12.579058,1,DDoS
tcp,192.168.100.148,57798.0,192.168.100.3,80.0,6,1,830,60,RST,1528096015.616254,1528096036.52573,20.909475,1,DDoS
tcp,192.168.100.149,7837.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096599.082197,1528096616.657374,17.575176,1,DDoS
tcp,192.168.100.149,30314.0,192.168.100.3,80.0,4,1,522,60,RST,1528096371.51684,1528096381.289145,9.772305,1,DDoS
udp,192.168.100.147,3501,192.168.100.3,80,12,0,720,0,INT,1528099667.216082,1528099681.21112,13.995038,1,DDoS
tcp,192.168.100.148,22597.0,192.168.100.5,80.0,2,0,308,0,REQ,1528096975.787936,1528096981.040613,5.252677,1,DDoS
udp,192.168.100.149,60596,192.168.100.3,80,12,0,720,0,INT,1528099824.871478,1528099842.007581,17.136103,1,DDoS
udp,192.168.100.148,46691,192.168.100.3,80,10,0,600,0,INT,1528099803.313929,1528099823.38614,20.07221,1,DDoS
tcp,192.168.100.150,18447.0,192.168.100.6,80.0,4,0,616,0,REQ,1528097203.884433,1528097257.379874,53.495441,1,DDoS
udp,192.168.100.150,60803.0,192.168.100.7,80.0,3,0,180,0,INT,1528101646.976759,1528101656.865584,9.888825,1,DDoS
tcp,192.168.100.149,35777.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095905.972094,1528095920.874291,14.902197,1,DDoS
tcp,192.168.100.149,64855.0,192.168.100.7,80.0,2,0,308,0,REQ,1528097750.980033,1528097756.009727,5.029694,1,DDoS
tcp,192.168.100.150,50835.0,192.168.100.3,80.0,5,1,676,60,RST,1528095765.520006,1528095776.704021,11.184015,1,DDoS
udp,192.168.100.148,22731,192.168.100.3,80,12,0,720,0,INT,1528099535.045715,1528099549.775684,14.729969,1,DDoS
tcp,192.168.100.147,44040.0,192.168.100.3,80.0,3,0,462,0,REQ,1528095825.260083,1528095856.896264,31.636181,1,DDoS
tcp,192.168.100.148,57290.0,192.168.100.5,80.0,2,0,308,0,REQ,1528096767.103723,1528096784.565997,17.462275,1,DDoS
udp,192.168.100.147,28529,192.168.100.3,80,13,0,780,0,INT,1528099404.071735,1528099421.221679,17.149944,1,DDoS
udp,192.168.100.150,23667,192.168.100.3,80,7,0,420,0,INT,1528099649.323318,1528099664.711106,15.387788,1,DDoS
tcp,192.168.100.150,59925.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095968.453655,1528095980.273185,11.81953,1,DDoS
udp,192.168.100.148,18467,192.168.100.6,80,8,0,480,0,INT,1528100897.484027,1528101009.595959,112.111931,1,DDoS
tcp,192.168.100.147,10879.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096821.761426,1528096836.48254,14.721114,1,DDoS
tcp,192.168.100.148,24938.0,192.168.100.6,80.0,4,0,616,0,REQ,1528097206.169699,1528097259.505214,53.335514,1,DDoS
udp,192.168.100.149,30059,192.168.100.3,80,8,0,480,0,INT,1528099574.745433,1528099588.71448,13.969047,1,DDoS
tcp,192.168.100.150,3972.0,192.168.100.7,80.0,3,0,462,0,REQ,1528097984.461415,1528097998.60356,14.142145,1,DDoS
tcp,192.168.100.147,4859.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096408.707137,1528096420.475459,11.768322,1,DDoS
udp,192.168.100.149,32092.0,192.168.100.3,80.0,8,0,480,0,INT,1528099352.363012,1528099366.774827,14.411815,1,DDoS
tcp,192.168.100.147,49078.0,192.168.100.5,80.0,5,0,770,0,REQ,1528096619.587517,1528096633.402439,13.814922,1,DDoS
udp,192.168.100.148,31727.0,192.168.100.7,80.0,5,0,300,0,INT,1528101823.952156,1528101838.758233,14.806077,1,DDoS
udp,192.168.100.148,33843,192.168.100.3,80,12,0,720,0,INT,1528099574.365614,1528099589.041885,14.676271,1,DDoS
udp,192.168.100.147,31507,192.168.100.3,80,12,0,720,0,INT,1528099422.601944,1528099437.084637,14.482693,1,DDoS
udp,192.168.100.150,34499,192.168.100.3,80,3,0,180,0,INT,1528099517.696753,1528099521.984241,4.287488,1,DDoS
tcp,192.168.100.148,51822.0,192.168.100.5,80.0,2,0,308,0,REQ,1528096400.444252,1528096407.529046,7.084794,1,DDoS
tcp,192.168.100.147,23031.0,192.168.100.3,80.0,4,0,616,0,REQ,1528096316.944073,1528096343.363961,26.419888,1,DDoS
tcp,192.168.100.150,23944.0,192.168.100.5,80.0,2,0,308,0,REQ,1528096873.418836,1528096878.355846,4.93701,1,DDoS
tcp,192.168.100.148,38867.0,192.168.100.5,80.0,4,0,616,0,REQ,1528097021.139796,1528097040.386172,19.246376,1,DDoS
tcp,192.168.100.150,8761.0,192.168.100.7,80.0,2,0,308,0,REQ,1528098026.649231,1528098030.197709,3.548478,1,DDoS
udp,192.168.100.149,59929,192.168.100.5,80,9,0,540,0,INT,1528100416.330135,1528100459.854201,43.524067,1,DDoS
udp,192.168.100.149,8218.0,192.168.100.3,80.0,11,0,660,0,INT,1528099783.872181,1528099798.239,14.366819,1,DDoS
udp,192.168.100.148,28965,192.168.100.6,80,9,0,540,0,INT,1528100649.759214,1528100692.988752,43.229538,1,DDoS
udp,192.168.100.148,37640,192.168.100.3,80,3,0,180,0,INT,1528099438.458539,1528099441.490367,3.031828,1,DDoS
tcp,192.168.100.149,4319.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096743.524582,1528096759.564592,16.04001,1,DDoS
tcp,192.168.100.147,42662.0,192.168.100.7,80.0,6,0,924,0,REQ,1528097883.145945,1528097912.178086,29.032141,1,DDoS
udp,192.168.100.149,9675.0,192.168.100.6,80.0,8,0,480,0,INT,1528101024.894698,1528101136.794482,111.89978,1,DDoS
tcp,192.168.100.147,52221.0,192.168.100.6,80.0,4,1,616,60,RST,1528097563.266529,1528097615.156972,51.923321,1,DDoS
tcp,192.168.100.149,9227.0,192.168.100.5,80.0,3,0,462,0,REQ,1528096622.618308,1528096634.586932,11.968624,1,DDoS
tcp,192.168.100.148,32771.0,192.168.100.5,80.0,1,0,154,0,REQ,1528096875.503342,1528096875.503342,0.0,1,DDoS
udp,192.168.100.147,27972.0,192.168.100.7,80.0,12,0,720,0,INT,1528101517.563663,1528101547.538842,29.97518,1,DDoS
udp,192.168.100.148,14566,192.168.100.5,80,11,0,660,0,INT,1528100195.130844,1528100227.904146,32.7733,1,DDoS
tcp,192.168.100.150,10464.0,192.168.100.3,80.0,4,1,522,60,RST,1528096315.822167,1528096343.823006,28.000839,1,DDoS
udp,192.168.100.150,41582,192.168.100.3,80,8,0,480,0,INT,1528099552.089786,1528099572.481142,20.391356,1,DDoS
udp,192.168.100.148,5182,192.168.100.5,80,2,0,120,0,INT,1528100233.981487,1528100239.229996,5.248509,1,DDoS
udp,192.168.100.148,63462,192.168.100.3,80,11,0,660,0,INT,1528099495.3814,1528099515.840116,20.458715,1,DDoS
udp,192.168.100.149,52435,192.168.100.7,80,4,0,240,0,INT,1528101313.578199,1528101339.058101,25.479902,1,DDoS
udp,192.168.100.147,23673,192.168.100.7,80,10,0,600,0,INT,1528101730.782165,1528101774.908387,44.126221,1,DDoS
udp,192.168.100.150,3839,192.168.100.3,80,8,0,480,0,INT,1528099367.918409,1528099382.240061,14.321652,1,DDoS
tcp,192.168.100.149,30685.0,192.168.100.3,80.0,6,1,830,60,REQ,1528096172.742458,1528096195.149481,22.407022,1,DDoS
udp,192.168.100.149,31028,192.168.100.6,80,2,0,120,0,INT,1528101270.055887,1528101285.932538,15.876651,1,DDoS
udp,192.168.100.150,7389,192.168.100.5,80,8,0,480,0,INT,1528100198.290973,1528100228.320985,30.030012,1,DDoS
tcp,192.168.100.147,60879.0,192.168.100.6,80.0,4,0,616,0,REQ,1528097146.133787,1528097198.559241,52.425453,1,DDoS
udp,192.168.100.147,14767.0,192.168.100.5,80.0,10,0,600,0,INT,1528100150.220441,1528100189.464036,39.243595,1,DDoS
udp,192.168.100.148,52496,192.168.100.3,80,11,0,660,0,INT,1528099352.823446,1528099366.634768,13.811322,1,DDoS
udp,192.168.100.148,63975,192.168.100.3,80,11,0,660,0,INT,1528099338.141343,1528099351.864353,13.72301,1,DDoS
tcp,192.168.100.148,16375.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096763.578421,1528096779.592499,16.014078,1,DDoS
udp,192.168.100.148,2461.0,192.168.100.7,80.0,6,0,360,0,INT,1528101821.804384,1528101840.512332,18.707949,1,DDoS
tcp,192.168.100.148,36930.0,192.168.100.3,80.0,3,0,462,0,REQ,1528095983.47548,1528096002.560464,19.084984,1,DDoS
tcp,192.168.100.150,15482.0,192.168.100.5,80.0,1,0,154,0,REQ,1528096896.568042,1528096896.568042,0.0,1,DDoS
tcp,192.168.100.149,65102.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095908.72106,1528095922.887372,14.166312,1,DDoS
udp,192.168.100.150,60698,192.168.100.3,80,7,0,420,0,INT,1528099550.780314,1528099566.99906,16.218746,1,DDoS
udp,192.168.100.149,5895,192.168.100.6,80,9,0,540,0,INT,1528100642.65093,1528100691.726245,49.075314,1,DDoS
udp,192.168.100.148,16646.0,192.168.100.3,80.0,10,0,600,0,INT,1528099423.052667,1528099436.569575,13.516908,1,DDoS
tcp,192.168.100.149,32980.0,192.168.100.3,80.0,4,0,616,0,REQ,1528096267.509236,1528096288.017238,20.508001,1,DDoS
tcp,192.168.100.149,45352.0,192.168.100.5,80.0,1,0,154,0,REQ,1528096896.192973,1528096896.192973,0.0,1,DDoS
tcp,192.168.100.147,27340.0,192.168.100.5,80.0,4,0,616,0,REQ,1528097021.158643,1528097041.562126,20.403482,1,DDoS
tcp,192.168.100.150,33517.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096819.117618,1528096837.285445,18.167828,1,DDoS
tcp,192.168.100.150,56096.0,192.168.100.3,80.0,7,1,984,60,RST,1528095828.40575,1528095856.73636,28.33061,1,DDoS
udp,192.168.100.150,6413,192.168.100.5,80,1,0,60,0,INT,1528100641.003615,1528100641.003615,0.0,1,DDoS
udp,192.168.100.148,43469.0,192.168.100.6,80.0,8,0,480,0,INT,1528101143.307034,1528101255.53538,112.228348,1,DDoS
tcp,192.168.100.148,4342.0,192.168.100.5,80.0,5,1,770,60,RST,1528096565.486026,1528096583.487956,18.00193,1,DDoS
tcp,192.168.100.147,15562.0,192.168.100.3,80.0,5,1,676,60,RST,1528095981.526327,1528096003.820215,22.293888,1,DDoS
udp,192.168.100.149,59306,192.168.100.3,80,10,0,600,0,INT,1528099784.936909,1528099799.307711,14.370802,1,DDoS
tcp,192.168.100.149,41889.0,192.168.100.3,80.0,6,1,830,60,RST,1528096348.667202,1528096364.834404,16.167202,1,DDoS
udp,192.168.100.150,56627,192.168.100.5,80,9,0,540,0,INT,1528100416.640889,1528100460.031828,43.390938,1,DDoS
udp,192.168.100.150,48686,192.168.100.6,80,8,0,480,0,INT,1528101146.772193,1528101258.925902,112.153709,1,DDoS
tcp,192.168.100.147,14781.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095981.459633,1528096003.768035,22.308401,1,DDoS
udp,192.168.100.148,26688.0,192.168.100.6,80.0,7,0,420,0,INT,1528100787.569662,1528100883.599138,96.029472,1,DDoS
udp,192.168.100.150,31036,192.168.100.7,80,8,0,480,0,INT,1528101730.25062,1528101771.951926,41.701305,1,DDoS
tcp,192.168.100.147,33174,192.168.100.3,80,4,1,522,60,RST,1528095723.771564,1528095738.246573,14.475009,1,DDoS
udp,192.168.100.150,35985.0,192.168.100.5,80.0,8,0,480,0,INT,1528100200.083847,1528100229.875943,29.792095,1,DDoS
tcp,192.168.100.147,34118.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096800.514325,1528096808.763483,8.249158,1,DDoS
tcp,192.168.100.150,4678.0,192.168.100.3,80.0,5,0,770,0,REQ,1528096065.680589,1528096092.257806,26.577217,1,DDoS
tcp,192.168.100.150,60212.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096716.815062,1528096736.435981,19.620918,1,DDoS
udp,192.168.100.150,22626,192.168.100.3,80,7,0,420,0,INT,1528099649.287116,1528099664.675122,15.388006,1,DDoS
udp,192.168.100.149,32552,192.168.100.7,80,9,0,540,0,INT,1528101422.847023,1528101467.541355,44.694332,1,DDoS
udp,192.168.100.150,33180,192.168.100.3,80,3,0,180,0,INT,1528099975.624651,1528099979.990672,4.366021,1,DDoS
udp,192.168.100.148,21339.0,192.168.100.7,80.0,13,0,780,0,INT,1528101517.57876,1528101551.094505,33.515743,1,DDoS
tcp,192.168.100.150,29687.0,192.168.100.5,80.0,2,0,308,0,REQ,1528096799.455208,1528096804.35264,4.897432,1,DDoS
udp,192.168.100.147,3213,192.168.100.3,80,4,0,240,0,INT,1528099858.95042,1528099863.07682,4.1264,1,DDoS
udp,192.168.100.150,46988,192.168.100.6,80,8,0,480,0,INT,1528101146.30955,1528101258.514782,112.205231,1,DDoS
udp,192.168.100.149,5417.0,192.168.100.7,80.0,1,0,60,0,INT,1528101340.179662,1528101340.179662,0.0,1,DDoS
udp,192.168.100.149,36222.0,192.168.100.5,80.0,4,0,240,0,INT,1528099988.335925,1528100017.149789,28.813864,1,DDoS
udp,192.168.100.147,17714.0,192.168.100.5,80.0,11,0,660,0,INT,1528100020.062926,1528100052.839399,32.776474,1,DDoS
tcp,192.168.100.150,11242.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096597.146243,1528096613.502355,16.356112,1,DDoS
tcp,192.168.100.147,47538.0,192.168.100.7,80.0,5,0,770,0,REQ,1528097841.268634,1528097863.762798,22.494164,1,DDoS
udp,192.168.100.148,24086,192.168.100.3,80,11,0,660,0,INT,1528099650.28922,1528099665.878424,15.589204,1,DDoS
tcp,192.168.100.150,6645.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096719.660737,1528096737.356343,17.695606,1,DDoS
udp,192.168.100.149,17604,192.168.100.3,80,10,0,600,0,INT,1528099825.290335,1528099841.002406,15.712071,1,DDoS
udp,192.168.100.147,4036,192.168.100.3,80,12,0,720,0,INT,1528099667.219452,1528099681.214314,13.994862,1,DDoS
